Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.22     0.00      840     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.22     0.00      840     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      0.22     0.00      800     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.22     0.00      800     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.00      0.22     0.00      800     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.00      0.22     0.00      800     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.22     0.00      800     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      0.22     0.00      711     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.22     0.00      621     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&)
  0.00      0.22     0.00      582     0.00     0.00  std::thread::id::id()
  0.00      0.22     0.00      579     0.00     0.00  std::thread* std::__addressof<std::thread>(std::thread&)
  0.00      0.22     0.00      563     0.00     0.00  std::vector<int, std::allocator<int> >::end()
